segment,label,text,video,segment2,session,dialog,frames_num,wav_num
Ses01F_impro03_F017,N," Uh, I think seven hundred and fifty dollars.",Ses01F_impro03,Fses01Aimprov03x17N,Session1,Session1/dialogAimprov03,89.0,47720
Ses01F_impro03_F018,N, Penny slots. That's what he plays.,Ses01F_impro03,Fses01Aimprov03x18N,Session1,Session1/dialogAimprov03,88.0,46760
Ses01F_impro03_F019,N, Yeah.,Ses01F_impro03,Fses01Aimprov03x19N,Session1,Session1/dialogAimprov03,43.0,22719
Ses01F_impro03_M019,N, I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Ses01F_impro03,Mses01Aimprov03x19N,Session1,Session1/dialogAimprov03,143.0,76640
Ses01F_impro03_F021,H, Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,Ses01F_impro03,Fses01Aimprov03x21H,Session1,Session1/dialogAimprov03,164.0,87360
Ses01F_impro03_M020,N," But the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01F_impro03,Mses01Aimprov03x20N,Session1,Session1/dialogAimprov03,139.0,73920
Ses01F_impro03_F022,N, Fifty bucks. Mmhmm.,Ses01F_impro03,Fses01Aimprov03x22N,Session1,Session1/dialogAimprov03,68.0,36039
Ses01F_impro03_M021,N," like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Ses01F_impro03,Mses01Aimprov03x21N,Session1,Session1/dialogAimprov03,80.0,42880
Ses01F_impro03_F023,N, Yeah.,Ses01F_impro03,Fses01Aimprov03x23N,Session1,Session1/dialogAimprov03,25.0,13479
Ses01F_impro03_F024,H, Well so now we're married. We have cat children.,Ses01F_impro03,Fses01Aimprov03x24H,Session1,Session1/dialogAimprov03,132.0,70440
Ses01F_impro03_M022,H, Awesome.,Ses01F_impro03,Mses01Aimprov03x22H,Session1,Session1/dialogAimprov03,49.0,26560
Ses01F_impro03_M023,H, [LAUGHTER] Cat babies.,Ses01F_impro03,Mses01Aimprov03x23H,Session1,Session1/dialogAimprov03,111.0,59039
Ses01F_impro03_F025,H," We renamed Brenda, Lumber Janet.",Ses01F_impro03,Fses01Aimprov03x25H,Session1,Session1/dialogAimprov03,118.0,62880
Ses01F_impro03_M024,N, That's fair enough.,Ses01F_impro03,Mses01Aimprov03x24N,Session1,Session1/dialogAimprov03,66.0,35519
Ses01F_impro03_F026,H, She needs a new name each state that we go into. [LAUGHTER],Ses01F_impro03,Fses01Aimprov03x26H,Session1,Session1/dialogAimprov03,180.0,96159
Ses01F_impro04_M000,N," Have you tried, uh, Craig's List?",Ses01F_impro04,Mses01Aimprov04x00N,Session1,Session1/dialogAimprov04,118.0,62651
Ses01F_impro04_F000,N," Uh, what?  Craig's List?  Oh the internet thing?",Ses01F_impro04,Fses01Aimprov04x00N,Session1,Session1/dialogAimprov04,132.0,70312
Ses01F_impro04_M001,N, Yeah.,Ses01F_impro04,Mses01Aimprov04x01N,Session1,Session1/dialogAimprov04,50.0,26720
Ses01F_impro04_F001,N, I don't know.  Isn't that-- that's all like escort services and things like that.,Ses01F_impro04,Fses01Aimprov04x01N,Session1,Session1/dialogAimprov04,132.0,70482
Ses01F_impro04_M002,N, No.  There's regular jobs on there.,Ses01F_impro04,Mses01Aimprov04x02N,Session1,Session1/dialogAimprov04,98.0,52159
Ses01F_impro04_M003,N, Uh huh.,Ses01F_impro04,Mses01Aimprov04x03N,Session1,Session1/dialogAimprov04,54.0,28800
Ses01F_impro04_M004,N, I'm just saying I have a friend that got a good job on it so I was just recommending it.,Ses01F_impro04,Mses01Aimprov04x04N,Session1,Session1/dialogAimprov04,140.0,74279
Ses01F_impro04_M005,N, He's like a manager for a theatre.,Ses01F_impro04,Mses01Aimprov04x05N,Session1,Session1/dialogAimprov04,100.0,53440
Ses01F_impro04_M006,N, He's like a house manager. Yeah.  It's a good job.,Ses01F_impro04,Mses01Aimprov04x06N,Session1,Session1/dialogAimprov04,91.0,48575
Ses01F_impro04_F005,N, He just...,Ses01F_impro04,Fses01Aimprov04x05N,Session1,Session1/dialogAimprov04,73.0,38553
Ses01F_impro04_F006,N, you know what?  I heard about that job.  I applied for that.,Ses01F_impro04,Fses01Aimprov04x06N,Session1,Session1/dialogAimprov04,107.0,56904
Ses01F_impro04_M007,N, You did?,Ses01F_impro04,Mses01Aimprov04x07N,Session1,Session1/dialogAimprov04,35.0,19039
Ses01F_impro04_M008,N, Yeah.,Ses01F_impro04,Mses01Aimprov04x08N,Session1,Session1/dialogAimprov04,34.0,17919
Ses01F_impro04_M009,N, You've been looking for a job for a long time; that was a long time ago.  Right?,Ses01F_impro04,Mses01Aimprov04x09N,Session1,Session1/dialogAimprov04,81.0,42791
Ses01F_impro04_F009,N, Yeah.,Ses01F_impro04,Fses01Aimprov04x09N,Session1,Session1/dialogAimprov04,42.0,22139
Ses01F_impro04_M010,N, Hmm.,Ses01F_impro04,Mses01Aimprov04x10N,Session1,Session1/dialogAimprov04,52.0,28000
Ses01F_impro04_M011,N, I don't know.  He had a really good resume I guess and--,Ses01F_impro04,Mses01Aimprov04x11N,Session1,Session1/dialogAimprov04,114.0,60800
Ses01F_impro04_M012,N, Yeah.  Do you have a resume?,Ses01F_impro04,Mses01Aimprov04x12N,Session1,Session1/dialogAimprov04,71.0,37542
Ses01F_impro04_M013,N, It's kind of helpful when getting a job.,Ses01F_impro04,Mses01Aimprov04x13N,Session1,Session1/dialogAimprov04,102.0,54443
Ses01F_impro04_F013,N, I just- I mean I call people up and I tell them what I'm good at.,Ses01F_impro04,Fses01Aimprov04x13N,Session1,Session1/dialogAimprov04,127.0,67789
Ses01F_impro04_M014,N, Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,Ses01F_impro04,Mses01Aimprov04x14N,Session1,Session1/dialogAimprov04,230.0,122663
Ses01F_impro04_F014,N, Yeah.,Ses01F_impro04,Fses01Aimprov04x14N,Session1,Session1/dialogAimprov04,44.0,23840
Ses01F_impro04_M015,N," No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",Ses01F_impro04,Mses01Aimprov04x15N,Session1,Session1/dialogAimprov04,207.0,110399
Ses01F_impro04_M016,N," Yeah.  But the piece of paper helps, too.",Ses01F_impro04,Mses01Aimprov04x16N,Session1,Session1/dialogAimprov04,89.0,47760
Ses01F_impro04_M017,N," No.  But it has an outline, you know.",Ses01F_impro04,Mses01Aimprov04x17N,Session1,Session1/dialogAimprov04,84.0,44960
Ses01F_impro04_M018,N," I know.  Okay.  Well, um. Maybe--",Ses01F_impro04,Mses01Aimprov04x18N,Session1,Session1/dialogAimprov04,182.0,97039
Ses01F_impro04_M019,N, Yeah.,Ses01F_impro04,Mses01Aimprov04x19N,Session1,Session1/dialogAimprov04,39.0,20960
Ses01F_impro04_M020,N," Okay, yeah.  I would imagine.",Ses01F_impro04,Mses01Aimprov04x20N,Session1,Session1/dialogAimprov04,58.0,30720
Ses01F_impro04_M021,N," Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",Ses01F_impro04,Mses01Aimprov04x21N,Session1,Session1/dialogAimprov04,292.0,155680
Ses01F_impro04_M022,N, maybe get a car.,Ses01F_impro04,Mses01Aimprov04x22N,Session1,Session1/dialogAimprov04,69.0,36808
Ses01F_impro04_M023,N," I just, you know, think you should try a little harder maybe.",Ses01F_impro04,Mses01Aimprov04x23N,Session1,Session1/dialogAimprov04,138.0,73559
Ses01F_impro04_M024,N, I didn't say that.,Ses01F_impro04,Mses01Aimprov04x24N,Session1,Session1/dialogAimprov04,66.0,35039
Ses01F_impro04_M025,N," I am riding the bus, but by choice.",Ses01F_impro04,Mses01Aimprov04x25N,Session1,Session1/dialogAimprov04,96.0,51200
Ses01F_impro04_M026,N," To save the environment, carpool.",Ses01F_impro04,Mses01Aimprov04x26N,Session1,Session1/dialogAimprov04,72.0,38400
Ses01F_impro04_M027,N, Yes.  One less car at a time.,Ses01F_impro04,Mses01Aimprov04x27N,Session1,Session1/dialogAimprov04,79.0,42600
Ses01F_impro04_M028,N, Mmhmm.,Ses01F_impro04,Mses01Aimprov04x28N,Session1,Session1/dialogAimprov04,37.0,19839
Ses01F_impro04_F028,A, I'm not frustrated.,Ses01F_impro04,Fses01Aimprov04x28A,Session1,Session1/dialogAimprov04,60.0,32159
Ses01F_impro04_F029,A, Who do you think you are?,Ses01F_impro04,Fses01Aimprov04x29A,Session1,Session1/dialogAimprov04,95.0,50559
Ses01F_impro04_M031,N, I don't think I'm anyone.,Ses01F_impro04,Mses01Aimprov04x31N,Session1,Session1/dialogAimprov04,86.0,45787
Ses01F_impro04_F030,A, You are so high and mighty.  I just--,Ses01F_impro04,Fses01Aimprov04x30A,Session1,Session1/dialogAimprov04,96.0,50959
Ses01F_impro04_M032,N, I- I-I didn't-- okay.,Ses01F_impro04,Mses01Aimprov04x32N,Session1,Session1/dialogAimprov04,81.0,43520
Ses01F_impro04_F031,A, Oh.  I'm saving the environment. I'm riding this car because I- I want to.,Ses01F_impro04,Fses01Aimprov04x31A,Session1,Session1/dialogAimprov04,132.0,70400
Ses01F_impro04_F032,A," The bus, I'm riding the bus because I want to.",Ses01F_impro04,Fses01Aimprov04x32A,Session1,Session1/dialogAimprov04,87.0,46399
Ses01F_impro04_F033,A, I can not-- you are not here by choice.  Nobody would ride this bus by choice.,Ses01F_impro04,Fses01Aimprov04x33A,Session1,Session1/dialogAimprov04,175.0,93520
Ses01F_impro05_M000,N, Hi.  Thanks for waiting.,Ses01F_impro05,Mses01Aimprov05x00N,Session1,Session1/dialogAimprov05,48.0,25279
Ses01F_impro05_M001,H, Can I help you?,Ses01F_impro05,Mses01Aimprov05x01H,Session1,Session1/dialogAimprov05,37.0,19680
Ses01F_impro05_M002,H, Uh huh.,Ses01F_impro05,Mses01Aimprov05x02H,Session1,Session1/dialogAimprov05,33.0,17759
Ses01F_impro05_M003,N, Okay.,Ses01F_impro05,Mses01Aimprov05x03N,Session1,Session1/dialogAimprov05,44.0,23679
Ses01F_impro05_M004,N, Okay.,Ses01F_impro05,Mses01Aimprov05x04N,Session1,Session1/dialogAimprov05,45.0,24319
Ses01F_impro05_M005,N, Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,Ses01F_impro05,Mses01Aimprov05x05N,Session1,Session1/dialogAimprov05,122.0,64959
Ses01F_impro05_M006,N, Okay.,Ses01F_impro05,Mses01Aimprov05x06N,Session1,Session1/dialogAimprov05,52.0,27794
Ses01F_impro05_M007,N, all right- okay.  And you lost your bag? Is that- that the issue?,Ses01F_impro05,Mses01Aimprov05x07N,Session1,Session1/dialogAimprov05,175.0,93640
Ses01F_impro05_F008,A, Flight seven fourteen.,Ses01F_impro05,Fses01Aimprov05x08A,Session1,Session1/dialogAimprov05,64.0,33919
Ses01F_impro05_M008,N, Uh-huh.,Ses01F_impro05,Mses01Aimprov05x08N,Session1,Session1/dialogAimprov05,55.0,29119
Ses01F_impro05_F009,A," Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",Ses01F_impro05,Fses01Aimprov05x09A,Session1,Session1/dialogAimprov05,220.0,117119
Ses01F_impro05_M009,N," Yeah. Yeah, I don't see- I don't see any--",Ses01F_impro05,Mses01Aimprov05x09N,Session1,Session1/dialogAimprov05,176.0,93600
Ses01F_impro05_M010,N," I don't see any record of it, and I-usually when I don't see a record of it, that means um-",Ses01F_impro05,Mses01Aimprov05x10N,Session1,Session1/dialogAimprov05,183.0,97759
Ses01F_impro05_M011,N," we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",Ses01F_impro05,Mses01Aimprov05x11N,Session1,Session1/dialogAimprov05,609.0,324639
Ses01F_impro05_M012,N," for such an inconvenience and your bag, but",Ses01F_impro05,Mses01Aimprov05x12N,Session1,Session1/dialogAimprov05,83.0,44159
Ses01F_impro05_F011,A, Is this a joke?,Ses01F_impro05,Fses01Aimprov05x11A,Session1,Session1/dialogAimprov05,50.0,26680
Ses01F_impro05_M013,N, Yeah.,Ses01F_impro05,Mses01Aimprov05x13N,Session1,Session1/dialogAimprov05,44.0,23039
Ses01F_impro05_M014,N," No, no.",Ses01F_impro05,Mses01Aimprov05x14N,Session1,Session1/dialogAimprov05,43.0,23199
Ses01F_impro05_F012,A," Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",Ses01F_impro05,Fses01Aimprov05x12A,Session1,Session1/dialogAimprov05,154.0,81919
Ses01F_impro05_M015,N," No, no.  This is real.",Ses01F_impro05,Mses01Aimprov05x15N,Session1,Session1/dialogAimprov05,90.0,48360
Ses01F_impro05_M016,N," No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",Ses01F_impro05,Mses01Aimprov05x16N,Session1,Session1/dialogAimprov05,247.0,131799
Ses01F_impro05_M017,N, this is the only track record that we have and if it's not listed here then it's probably not anywhere.,Ses01F_impro05,Mses01Aimprov05x17N,Session1,Session1/dialogAimprov05,192.0,102320
Ses01F_impro05_F014,A," You're kidding me, this is a joke.",Ses01F_impro05,Fses01Aimprov05x14A,Session1,Session1/dialogAimprov05,101.0,54079
Ses01F_impro05_F015,A, Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,Ses01F_impro05,Fses01Aimprov05x15A,Session1,Session1/dialogAimprov05,465.0,247920
Ses01F_impro05_M019,N, Yes.,Ses01F_impro05,Mses01Aimprov05x19N,Session1,Session1/dialogAimprov05,46.0,24479
Ses01F_impro05_M020,N, I know.,Ses01F_impro05,Mses01Aimprov05x20N,Session1,Session1/dialogAimprov05,40.0,21280
Ses01F_impro05_F016,A, We flew in from Paris.  I've been shopping for three weeks.,Ses01F_impro05,Fses01Aimprov05x16A,Session1,Session1/dialogAimprov05,117.0,62560
Ses01F_impro05_F017,A, I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,Ses01F_impro05,Fses01Aimprov05x17A,Session1,Session1/dialogAimprov05,281.0,149840
Ses01F_impro05_M022,N, Okay. Calm-,Ses01F_impro05,Mses01Aimprov05x22N,Session1,Session1/dialogAimprov05,67.0,35680
Ses01F_impro05_M023,N," Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",Ses01F_impro05,Mses01Aimprov05x23N,Session1,Session1/dialogAimprov05,219.0,116960
Ses01F_impro05_F018,A, Do you understand who my husband is?,Ses01F_impro05,Fses01Aimprov05x18A,Session1,Session1/dialogAimprov05,72.0,38320
Ses01F_impro05_F019,A," If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",Ses01F_impro05,Fses01Aimprov05x19A,Session1,Session1/dialogAimprov05,161.0,85999
Ses01F_impro05_M024,N," We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",Ses01F_impro05,Mses01Aimprov05x24N,Session1,Session1/dialogAimprov05,189.0,100960
Ses01F_impro05_F020,A, Oh-Oh.  It's a gift.  You're-You're helping me out here?,Ses01F_impro05,Fses01Aimprov05x20A,Session1,Session1/dialogAimprov05,133.0,70959
Ses01F_impro05_M025,N, It's a gift.,Ses01F_impro05,Mses01Aimprov05x25N,Session1,Session1/dialogAimprov05,41.0,21999
Ses01F_impro05_M026,N," You know, the airlines can not be held responsible for every bag of luggage that comes through here.",Ses01F_impro05,Mses01Aimprov05x26N,Session1,Session1/dialogAimprov05,172.0,91960
Ses01F_impro05_F021,A, You are cruising for a bruising.  You are in so much trouble.,Ses01F_impro05,Fses01Aimprov05x21A,Session1,Session1/dialogAimprov05,143.0,76159
Ses01F_impro05_M027,N, With the amount of--,Ses01F_impro05,Mses01Aimprov05x27N,Session1,Session1/dialogAimprov05,51.0,27359
Ses01F_impro05_F022,A, Who's in charge?  Who is the president of Jet Blue?,Ses01F_impro05,Fses01Aimprov05x22A,Session1,Session1/dialogAimprov05,102.0,54199
Ses01F_impro05_M028,N," Um, actually, I don't know. I don't know. Oh really?",Ses01F_impro05,Mses01Aimprov05x28N,Session1,Session1/dialogAimprov05,112.0,59840
Ses01F_impro05_F023,A, Because I probably know him.,Ses01F_impro05,Fses01Aimprov05x23A,Session1,Session1/dialogAimprov05,58.0,30720
Ses01F_impro05_F024,A, Yeah.,Ses01F_impro05,Fses01Aimprov05x24A,Session1,Session1/dialogAimprov05,41.0,22079
Ses01F_impro05_M029,N, Well then maybe you can just call him and he can give you more money.  But right now all I can do--,Ses01F_impro05,Mses01Aimprov05x29N,Session1,Session1/dialogAimprov05,195.0,103679
Ses01F_impro05_F025,A," I don't want money, I want my clothes.",Ses01F_impro05,Fses01Aimprov05x25A,Session1,Session1/dialogAimprov05,93.0,49759
Ses01F_impro05_M030,N," Right now all I can do is just give you this fifty dollars, I'm really sorry.",Ses01F_impro05,Mses01Aimprov05x30N,Session1,Session1/dialogAimprov05,136.0,72479
Ses01F_impro05_F026,A, What's your name?,Ses01F_impro05,Fses01Aimprov05x26A,Session1,Session1/dialogAimprov05,45.0,23800
Ses01F_impro05_M031,N, Oh.  My name is Sean. Hi.,Ses01F_impro05,Mses01Aimprov05x31N,Session1,Session1/dialogAimprov05,68.0,36480
Ses01F_impro05_F028,A, Okay.  I'll do that.,Ses01F_impro05,Fses01Aimprov05x28A,Session1,Session1/dialogAimprov05,64.0,33880
Ses01F_impro05_F029,A, I don't think you have done everything you could do because I don't have my bag here yet.,Ses01F_impro05,Fses01Aimprov05x29A,Session1,Session1/dialogAimprov05,119.0,63199
Ses01F_impro05_M034,N," If you want, you can write a letter.  I can give you the address. Yes.  An angry--",Ses01F_impro05,Mses01Aimprov05x34N,Session1,Session1/dialogAimprov05,195.0,104159
Ses01F_impro05_F030,A, A letter? I'll make a personal phone call.,Ses01F_impro05,Fses01Aimprov05x30A,Session1,Session1/dialogAimprov05,99.0,52960
Ses01F_impro05_M035,N," Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",Ses01F_impro05,Mses01Aimprov05x35N,Session1,Session1/dialogAimprov05,189.0,100960
Ses01F_impro06_M000,S," I'm sorry, Joy.",Ses01F_impro06,Mses01Aimprov06x00S,Session1,Session1/dialogAimprov06,98.0,52480
